Title,Type,Status,Priority,Area,Milestone,Control surface,Labels,Description
"Prepare v0.1.0-alpha.1 pre-release notes","Task","Done","P0","Release","Alpha testeur","Not applicable","release;docs","Honest alpha notes exist in docs/release-notes/v0.1.0-alpha.1.md: Windows mixer fallback works, BrowserGain depends on site/browser support, ObserveOnly sources are visible but not directly controlled."
"Validate YouTube tabCapture-first behavior","Test","Testing","P0","Testing","Alpha testeur","BrowserGain;WindowsSessionVolume","audio-test;browser;youtube;tabcapture","Retest YouTube after tabCapture-first. Expected primary path on Chromium: tab-capture, BrowserGain if signal is usable, or honest ObserveOnly/fallback Windows if capture is no-signal/restricted/unsupported."
"Validate TikTok tabCapture-first fallback behavior","Test","Testing","P0","Testing","Alpha testeur","WindowsSessionVolume","audio-test;browser;tiktok;tabcapture","Retest TikTok after tabCapture-first. Expected non-direct case remains honest tab-capture no-signal with fallbackRecommended=true and desktop WindowsSessionVolume fallback."
"Validate Spotify Web tabCapture-first behavior","Test","Testing","P0","Testing","Alpha testeur","BrowserGain;WindowsSessionVolume","audio-test;browser;spotify;tabcapture","Retest Spotify Web after tabCapture-first. Expected primary path on Chromium: tab-capture, with media-html only as secondary fallback if tab capture cannot start."
"Show browser recovery reason and action","Feature","Done","P0","Desktop","Alpha testeur","BrowserGain;WindowsSessionVolume","browser;diagnostics;fallback","browser_source_observed carries captureSignalState and the desktop shows Raison/Action guidance for ObserveOnly, Unknown, skipped or no-signal sources."
"Prefer Chromium tabCapture for protected browser tabs","Feature","Done","P0","Browser extension","Alpha testeur","BrowserGain;WindowsSessionVolume","browser;tabcapture;fallback","Protected tabs now try tabCapture first on Chromium, keep media-html as a secondary fallback, and expose needs-user-action, restricted or unsupported states when direct capture is not available."
"Add read-only Global Output Monitor","Feature","Done","P0","Desktop","Alpha testeur","ObserveOnly","diagnostics;desktop;audio-test","Desktop now observes the default Windows output device with loopback RMS/peak/state metrics, shows Sortie globale, logs global_output.* locally, and never changes Windows master volume or writes raw audio."
"Add Coverage Dashboard","Feature","Done","P0","Desktop","Alpha testeur","BrowserGain;WindowsSessionVolume;ObserveOnly;Unknown","coverage;diagnostics;desktop","Desktop now summarizes source coverage as Direct, Fallback Windows, Action requise, Limite, or Inconnu, adds per-source coverage actions, logs coverage.*, and includes coverage in copied readable reports."
"Detect unknown active global output","Feature","Done","P0","Desktop","Alpha testeur","ObserveOnly","diagnostics;desktop;audio-test","Desktop now logs global_output.unknown_active when loopback output is active but no known Windows/browser source explains it, then logs resolved when the signal is explained again."
"Add Stream Safe and guided test mode","Feature","Done","P0","Desktop","Alpha testeur","WindowsSessionVolume;BrowserGain;ObserveOnly;Unknown","testing;desktop;stream-safety","Desktop now exposes Stream Safe, Demarrer guide, Etape suivante, and logs guided_test.* so testers can run YouTube, TikTok, Spotify/Deezer, Discord, VLC/game, and OBS checks in order."
"Stabilize extension standalone fallback state","Bug","Done","P0","Browser extension","Alpha testeur","ObserveOnly;WindowsSessionVolume","browser;fallback;diagnostics","When the desktop app is closed and a browser source needs Windows fallback, the popup now stays visually active in observation/fallback mode instead of bouncing active/inactive."
"Package tester build for v0.1.0-alpha.1","Task","Testing","P0","Packaging","Alpha testeur","Not applicable","packaging;release","tools/package-tester.ps1 now regenerates the tester folder, self-contained win-x64 desktop, StreamVolumeGuardHub-Tester-v0.1.0-alpha.1.zip, SHA256 checksum, and LICENSE. Manual clean-folder launch validation is still required before publishing; Windows code signing remains a pro-release prerequisite."
"Stabilize V1 after real-source tests","Task","Todo","P0","Stabilization","V1 stable","Not applicable","stabilization;release;testing","After real-source logs and clean-folder package validation, fix blocking bugs, keep browser limits visible, and confirm docs/UI/logs match the real behavior before any Store work."
"Add local diagnostic export","Feature","Ready","P1","Desktop","V1 stable","Not applicable","diagnostics;desktop","Create an explicit local diagnostic export with sanitized logs, source snapshots, config summary, versions, and no telemetry."
"Improve browser-source diagnostics in reports","Feature","Ready","P1","Desktop","V1 stable","Not applicable","diagnostics;browser","Make copied reports show calibrationState, captureSignalState, measuredRmsDb, appliedGainDb, and skipped/no-signal reasons clearly."
"Prepare OBS Stream Safety Setup","Docs","Done","P1","OBS","Alpha testeur","Not applicable","obs;docs;stream-safety","docs/obs-stream-safety-setup.md exists and the desktop Guide OBS action explains Application Audio Capture, Compressor and Limiter. Real OBS meter validation is still required before V1 stable."
"Review labels and issue templates before public push","Task","Ready","P1","GitHub","Alpha testeur","Not applicable","github;docs","Verify labels.md, issue templates, PR template, project board fields, and README links before pushing."
"Prepare Microsoft Store readiness","Task","Todo","P1","Packaging","Beta publique","Not applicable","store;packaging;release;privacy","Prepare a Microsoft Store beta path after V1 stabilization and OBS Stream Safety Setup, without submitting: package format, Store assets, privacy/support links, local bridge notes, extension separation, and validation checklist. Goal: reduce SmartScreen friction without buying an OV/EV certificate immediately."
"Add Windows code signing path","Task","Todo","P2","Packaging","V1 stable","Not applicable","packaging;security;release","Choose a Windows code signing certificate, document signtool usage, and sign the packaged executable later if a pro/stable public release outside Microsoft Store needs it."
"Split large desktop UI responsibilities later","Refactor","Inbox","P3","Desktop","Later","Not applicable","maintainability;desktop","Plan a focused split for MainWindow code only after V1 test flow is stable and covered."
"Study OBS plugin or VST direction","Research","Inbox","P3","OBS","Later","Not applicable","obs;research","Compare an OBS plugin, VST, and desktop-only model only after the Hub plus OBS Stream Safety Setup proves the local Windows workflow."
